CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82821,ATR,5306C,ATR 5306C,Therapeutic Interventions I,[REDACTED],W | 8:00 AM - 10:50 AM | 39-J. Brooks Brown Hall Room 2047,Main Campus-UNF,Standard,OPEN,4,16,20,0
82789,ATR,5815C,ATR 5815C,Clinical Integration I,[REDACTED],R | 10:50 AM - 1:30 PM | 39-J. Brooks Brown Hall Room 1001A,Main Campus-UNF,Independent,OPEN,4,16,20,0
82897,ATR,6308C,ATR 6308C,Therapeutic Interventions III,[REDACTED],W | 8:00 AM - 10:50 AM | 39-J. Brooks Brown Hall Room 2045,Main Campus-UNF,Standard,OPEN,4,16,20,0
82898,ATR,6516,ATR 6516,Athletic Training Administration,[REDACTED],TR | 8:00 AM - 9:15 AM | 39-J. Brooks Brown Hall Room 1001A,Main Campus-UNF,Standard,OPEN,4,16,20,5
82899,ATR,6617,ATR 6617,Research Methods,[REDACTED],TR | 9:25 AM - 10:40 AM | 39-J. Brooks Brown Hall Room 1003A,Main Campus-UNF,Standard,OPEN,4,16,20,5
82901,ATR,6835C,ATR 6835C,Clinical Integration III,[REDACTED],T | 10:50 AM - 1:30 PM | 39-J. Brooks Brown Hall Room 1001A,Main Campus-UNF,Independent,OPEN,3,17,20,0
85496,ATR,6907,ATR 6907,Independent Study in Athletic Training,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,1,1,0
86377,ATR,6945L,ATR 6945L,Clinical-Decision Making I,[REDACTED],W | 11:00 AM - 12:50 PM | 39-J. Brooks Brown Hall Room 2045,Main Campus-UNF,Standard,OPEN,4,16,20,0
83608,BCH,4024,BCH 4024,Molecular Biology and Biochemistry,[REDACTED],TR | 4:30 PM - 5:45 PM | 50-Science &amp; Engineering Room 1102,Main Campus-UNF,Standard,OPEN,33,59,92,40
84626,BCH,4033,BCH 4033,Biochemistry I,[REDACTED],MW | 6:00 PM - 7:15 PM | 4-Skinner-Jones Hall Room 1704,Main Campus-UNF,Standard,OPEN,23,52,75,40
82528,BCH,4033L,BCH 4033L,Biochemistry I Lab,[REDACTED],T | 9:00 AM - 11:50 AM | 50-Science &amp; Engineering Room 3022,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,12,12,12
83155,BCH,4033L,BCH 4033L,Biochemistry I Lab,[REDACTED],W | 9:00 AM - 11:50 AM | 50-Science &amp; Engineering Room 3022,Main Campus-UNF,Standard,OPEN,5,7,12,12
84410,BCH,5418,BCH 5418,Advanced Molecular Biology and Biochemistry,[REDACTED],TR | 4:30 PM - 5:45 PM | 50-Science &amp; Engineering Room 1102,Main Campus-UNF,Standard,OPEN,2,6,8,3
82863,BCN,1005C,BCN 1005C,Introduction to Construction Management,[REDACTED],W | 3:00 PM - 5:45 PM | 15-John E. Mathews Room 1304,Main Campus-UNF,Standard,OPEN,2,73,75,5
