CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
84231,EDA,7421,EDA 7421,Research Design Seminar 2: Proposal Development,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; Online,Hybrid - On Campus/Online,Hybrid,OPEN,6,4,10,5
83130,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,1,4,5,0
83610,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,1,1,0
84737,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,1,2,3,0
85106,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,1,0,1,0
86290,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,1,1,0
86466,EDA,7905,EDA 7905,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,1,1,0
83145,EDA,7979,EDA 7979,Research Design Seminar 1: Advanced Methods,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2223; Online,Hybrid - On Campus/Online,Hybrid,OPEN,8,3,11,5
83146,EDA,7979,EDA 7979,Research Design Seminar 1: Advanced Methods,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | Online; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2050; R | 6:00 PM - 8:45 PM | Online; Online,Hybrid - On Campus/Online,Hybrid,OPEN,8,12,20,5
82493,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83220,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
